UI_20150317_000001	{@st41b}Lerne Fähigkeiten{nl}von dem Meister einer Klasse.{/}
UI_20150317_000002	{@st43}Fähigkeitenliste {/}
UI_20150317_000003	{@st59}Fähigkeitenliste schließen {/}
UI_20150317_000004	{@st43}Fähigkeiten lernen{/}
UI_20150317_000005	{@st59}Fähigkeitenfenster schließen{/}
UI_20150317_000006	{@st41b}Silber{/}
UI_20150317_000007	Meine Errungenschaften
UI_20150317_000008	Server Wertung
UI_20150317_000009	{@st59}Ein unerwartetes Event ist verfügbar.{/}
UI_20150317_000010	{@st59}Es gibt eine neue Hilfemitteilung{/}
UI_20150317_000011	{@st41}Bist du dir sicher das du diesen Pfeiltypen schmieden möchtest?{/}
UI_20150317_000012	{@st41b}Einzeln{/}
UI_20150317_000013	{@st41b}Alle{/}
UI_20150317_000014	{@st41b}Pause{/}
UI_20150317_000015	{@st43}Tagebuch{/}
UI_20150317_000016	{@st43}Auktionshaus{/}
UI_20150317_000017	{@st59}Schließen{/}
UI_20150317_000018	{@st41b}Verkauft : ×%s, Nicht Verkauft : ×%s{/}
UI_20150317_000019	{@st43}{s22}Gegenstands Auktion{/}
UI_20150317_000020	{@st59}Quest Information schließen{/}
UI_20150317_000021	Verfallen
UI_20150317_000022	{@st41b}Verbleibende Zeit
UI_20150317_000023	3 Stunden 16 Minuten
UI_20150317_000024	{@st41b}Startpreis
UI_20150317_000025	{@st41b}Gebote
UI_20150317_000026	{@st41b}Aktueller Preis
UI_20150317_000027	{@st41b}Gebot
UI_20150317_000028	{@st41b}Mindesgebot von {@st57}%s{@st41b}silver{/}
UI_20150317_000029	{@st41b}Bieten{/}
UI_20150317_000030	{@st43b}Jetzt Kaufen{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Genehmigungseinstellungen{/}
UI_20150317_000032	{@st45}Name: %s{/}
UI_20150317_000033	{@st45}Party Lagerhaus{/}
UI_20150317_000034	{@st49}Nichts
UI_20150317_000035	{@st49}Lagern
UI_20150317_000036	{@st49}Herausholen
UI_20150317_000037	{@st45}Prüfen{/}
UI_20150317_000038	{@st49}Erstellen
UI_20150317_000039	{@st49}Löschen
UI_20150317_000040	{@st44}Speichern{/}
UI_20150317_000041	{@st44}Abbrechen{/}
UI_20150317_000042	{@st43}{s22}Haar Shop{/}
UI_20150317_000043	{@st59}Vorheriger Haarstil{/}
UI_20150317_000044	{@st59}Nächster Haarstil{/}
